symbol,name,thesis
XLE,Energy Sector ETF,"Direct beneficiary of $100+ oil. Energy producers win regardless of what currency oil is priced in."
GDX,Gold Miners ETF,"Moves 2-3x the gold price. Leveraged exposure to the dollar collapse thesis."
WPM,Wheaton Precious Metals,"Royalty and streaming model. Gold exposure without mining operational risk."
GOLD,Physical Gold Spot,"Central banks targeting $6,000+. Still early. Still accumulating."
SILVER,Physical Silver Spot,"Higher percentage upside than gold in a real collapse. Physical stacking entry."
VXUS,Total International ETF,"Gains automatically when the dollar weakens. Profit from local growth and currency appreciation."
PDBC,Commodities Basket,"Oil, metals, agriculture in one fund. Every hard asset reprices up when the dollar weakens."
URA,Uranium ETF,"AI data centers need baseload power. Nuclear renaissance is happening in real time."
COPX,Copper Miners ETF,"Electrification supercycle. EVs, AI data centers, grid modernization all need copper."
IRM,Iron Mountain REIT,"AI infrastructure data center REIT. Pays dividends while the thesis plays out."
BTC,Bitcoin,"Down 48% from ATH. Institutions accumulating. DCA only, never lump sum."
ETH,Ethereum,"Layer 2 activity growing. Settlement layer for the next internet."
SOL,Solana,"10 billion transactions in Q1 2026. Fastest chain with real usage."
VUG,Vanguard Growth ETF,"Core growth engine. Large-cap US growth. Tax-free compounding for decades."
META,Meta Platforms,"AI monetization play. Fundamentals solid. Down 33% from ATH presents an entry."
